Date,DOY,t,hour,air_temperature,humidity,soil_temperature,Wind,PARi,ambient_CO2,day
19/10/1976,292,0,12,13.2,0.72,12.6,5.555555556,549.44,331,0
19/10/1976,292,1,13,13.6,0.7,12.9,5.583333333,464.6,331,0
19/10/1976,292,2,14,13.6,0.71,12.8,4.805555556,274.72,331,0
19/10/1976,292,3,15,13.3,0.72,12.5,4.416666667,171.7,331,0
19/10/1976,292,4,16,12.9,0.74,12.2,4.111111111,96.96,331,0
19/10/1976,292,5,17,12.2,0.77,11.7,4.472222222,12.12,331,0
19/10/1976,292,6,18,11.4,0.81,11.2,4.722222222,0,331,0
19/10/1976,292,7,19,11,0.85,10.9,4.583333333,0,331,0
19/10/1976,292,8,20,10.8,0.87,10.9,4.416666667,0,331,0
19/10/1976,292,9,21,10.5,0.9,10.7,4.416666667,0,331,0
19/10/1976,292,10,22,10,0.92,10.5,4.333333333,0,331,0
19/10/1976,292,11,23,9.6,0.93,10.2,4.583333333,0,331,0
20/10/1976,293,12,24,9.4,0.93,10,4.416666667,0,331,1
20/10/1976,293,13,1,9.1,0.93,9.8,4.416666667,0,331,1
20/10/1976,293,14,2,9,0.93,9.7,4.222222222,0,331,1
20/10/1976,293,15,3,9.1,0.93,9.7,3.611111111,0,331,1
20/10/1976,293,16,4,9,0.94,9.6,3.388888889,0,331,1
20/10/1976,293,17,5,9.2,0.94,9.6,3.583333333,0,331,1
20/10/1976,293,18,6,9.6,0.95,9.8,3.805555556,0,331,1
20/10/1976,293,19,7,10.3,0.94,10.1,4.027777778,20.2,331,1
20/10/1976,293,20,8,10.9,0.93,10.5,4.055555556,98.98,331,1
20/10/1976,293,21,9,11.6,0.91,11,3.944444444,157.56,331,1
20/10/1976,293,22,10,12.1,0.9,11.3,4.194444444,173.72,331,1
20/10/1976,293,23,11,12.9,0.88,11.8,4.805555556,187.86,331,1
20/10/1976,293,24,12,13.6,0.85,12.2,4.833333333,282.8,331,1
20/10/1976,293,25,13,14.2,0.82,12.7,4.972222222,327.24,331,1
20/10/1976,293,26,14,14.7,0.77,13.1,4.972222222,432.28,331,1
20/10/1976,293,27,15,14.6,0.77,13.1,4.527777778,280.78,331,1
20/10/1976,293,28,16,13.8,0.79,12.7,4,139.38,331,1
20/10/1976,293,29,17,12.8,0.83,12.1,3.333333333,8.08,331,1
